X1,X2,X3,X4,X5,X6,X7,ID
med,high,NA,NA,small,med,unacc,1073
vhigh,med,2,2,big,high,unacc,225
med,low,NA,NA,med,high,vgood,1293
med,high,3,NA,big,med,acc,1025
low,low,2,NA,small,high,unacc,1641
vhigh,low,4,4,small,low,unacc,388
vhigh,vhigh,NA,4,big,med,unacc,98
vhigh,vhigh,4,2,med,med,unacc,59
vhigh,vhigh,2,NA,big,high,unacc,27
low,med,3,4,big,med,good,1556
low,high,3,2,med,high,unacc,1437
med,med,3,4,med,med,acc,1121
med,high,2,4,med,low,unacc,985
high,high,2,4,big,low,unacc,556
high,vhigh,2,NA,big,high,unacc,459
low,med,4,2,big,med,unacc,1574
vhigh,low,3,2,small,high,unacc,354
high,high,2,4,med,high,acc,555
high,low,NA,2,big,high,unacc,846
med,med,4,2,med,med,unacc,1139
low,high,2,2,med,low,unacc,1408
high,vhigh,4,4,med,low,unacc,499
med,med,3,2,big,high,unacc,1116
med,high,4,2,small,med,unacc,1028
vhigh,med,4,NA,med,med,acc,293
high,vhigh,NA,4,big,med,unacc,530
low,high,3,2,small,high,unacc,1434
med,med,2,2,small,high,unacc,1083
med,med,3,NA,small,high,acc,1128
high,high,4,2,med,high,unacc,600
med,low,NA,2,small,high,unacc,1272
low,high,3,2,small,med,unacc,1433
vhigh,vhigh,3,4,med,med,unacc,41
vhigh,high,4,2,small,high,unacc,165
med,high,3,4,big,low,unacc,1015
med,low,2,4,big,low,unacc,1204
low,med,3,4,big,high,vgood,1557
med,low,2,2,big,high,unacc,1197
vhigh,high,2,4,big,low,unacc,124
med,med,2,NA,big,low,unacc,1105
vhigh,med,4,4,small,low,unacc,280
vhigh,high,NA,2,big,high,unacc,198
vhigh,vhigh,2,NA,med,low,unacc,22
vhigh,low,NA,NA,med,high,acc,429
low,vhigh,4,2,small,med,unacc,1352
med,high,2,4,small,med,unacc,983
low,low,4,4,big,med,good,1691
low,med,2,2,small,high,unacc,1515
vhigh,low,2,2,small,med,unacc,326
vhigh,med,NA,NA,small,med,unacc,317
low,high,2,2,med,med,unacc,1409
med,high,3,4,med,med,unacc,1013
vhigh,vhigh,NA,4,med,high,unacc,96
low,vhigh,2,NA,small,low,unacc,1315
med,vhigh,2,4,big,med,acc,881
low,high,2,2,big,med,unacc,1412
high,med,NA,4,big,med,acc,746
med,low,2,4,small,low,unacc,1198
low,vhigh,4,2,big,low,unacc,1357
med,low,4,4,med,med,good,1256
med,high,3,4,big,high,acc,1017
high,low,NA,NA,big,med,acc,863
low,vhigh,4,NA,small,low,unacc,1369
high,vhigh,NA,2,big,med,unacc,521
vhigh,vhigh,NA,NA,small,high,unacc,102
low,low,2,4,med,med,acc,1634
vhigh,med,2,4,med,high,acc,231
vhigh,vhigh,2,2,med,high,unacc,6
high,vhigh,2,NA,small,med,unacc,452
med,high,3,2,big,med,unacc,1007
vhigh,low,NA,NA,small,low,unacc,424
high,low,4,4,med,med,acc,824
low,vhigh,3,2,med,med,unacc,1328
vhigh,med,NA,4,med,low,unacc,310
high,low,NA,2,small,low,unacc,838
low,vhigh,2,2,small,low,unacc,1297
vhigh,high,4,NA,med,low,unacc,184
med,med,4,2,med,low,unacc,1138
high,vhigh,2,NA,small,high,unacc,453
high,high,3,2,big,med,unacc,575
high,vhigh,2,2,small,high,unacc,435
vhigh,vhigh,4,NA,big,high,unacc,81
high,vhigh,3,NA,small,med,unacc,479
med,high,2,2,big,high,unacc,981
med,low,3,NA,big,high,vgood,1242
high,med,3,4,big,med,acc,692
vhigh,low,NA,NA,med,med,acc,428
vhigh,med,3,2,big,low,unacc,250
vhigh,med,4,2,small,low,unacc,271
vhigh,high,2,2,med,low,unacc,112
med,vhigh,3,NA,big,low,unacc,916
med,vhigh,2,2,med,low,unacc,868
med,high,4,NA,big,high,acc,1053
vhigh,high,2,2,small,high,unacc,111
high,low,2,2,med,high,unacc,762
high,low,NA,NA,big,low,unacc,862
low,low,NA,NA,big,med,good,1727
low,high,3,4,med,low,unacc,1444
low,vhigh,NA,NA,big,med,acc,1403
vhigh,med,4,2,med,high,unacc,276
high,low,4,4,big,high,acc,828
high,high,2,NA,small,low,unacc,559
high,med,NA,NA,small,low,unacc,748
high,med,4,2,big,high,unacc,711
high,vhigh,NA,2,small,high,unacc,516
low,low,3,NA,med,high,vgood,1671
vhigh,low,3,NA,med,high,acc,375
med,vhigh,NA,2,big,med,unacc,953
high,vhigh,2,2,small,low,unacc,433
med,high,4,2,med,high,unacc,1032
med,med,NA,NA,small,med,acc,1181
low,low,4,NA,small,high,good,1695
high,low,NA,2,big,med,unacc,845
low,med,3,NA,med,low,unacc,1561
low,med,NA,2,small,low,unacc,1594
vhigh,med,4,2,big,low,unacc,277
med,high,NA,2,big,low,unacc,1060
high,low,NA,NA,med,low,unacc,859
vhigh,vhigh,NA,2,big,high,unacc,90
high,low,2,NA,small,high,unacc,777
vhigh,high,4,4,small,high,unacc,174
med,med,NA,4,small,low,unacc,1171
vhigh,high,2,2,small,low,unacc,109
low,low,3,2,med,low,unacc,1651
vhigh,vhigh,4,4,big,high,unacc,72
vhigh,high,3,4,med,high,unacc,150
vhigh,vhigh,NA,NA,big,high,unacc,108
med,low,4,4,big,med,good,1259
high,vhigh,2,NA,med,low,unacc,454
low,low,NA,4,med,high,vgood,1716
med,high,2,2,small,med,unacc,974
med,med,4,NA,small,med,acc,1154
high,high,NA,NA,big,high,acc,648
high,med,3,2,big,low,unacc,682
low,high,2,2,small,high,unacc,1407
vhigh,vhigh,3,NA,small,med,unacc,47
high,high,NA,NA,small,low,unacc,640
low,low,3,2,small,high,unacc,1650
med,vhigh,2,NA,med,med,unacc,887
med,med,4,2,small,low,unacc,1135
vhigh,low,NA,2,small,med,unacc,407
low,low,NA,NA,small,low,unacc,1720
low,vhigh,3,4,med,low,unacc,1336
low,vhigh,4,4,small,med,unacc,1361
low,vhigh,2,NA,small,high,unacc,1317
low,vhigh,NA,4,big,med,acc,1394
med,high,3,4,big,med,acc,1016
vhigh,vhigh,4,4,big,low,unacc,70
vhigh,low,2,4,med,high,acc,339
med,vhigh,2,2,med,high,unacc,870
high,vhigh,NA,NA,med,low,unacc,535
low,med,3,2,med,low,unacc,1543
high,med,3,2,small,med,unacc,677
low,med,2,2,small,med,unacc,1514
high,low,4,2,small,med,unacc,812
vhigh,high,3,4,big,low,unacc,151
vhigh,low,2,NA,med,low,unacc,346
high,high,3,NA,med,low,unacc,589
high,high,NA,NA,big,low,unacc,646
med,low,2,2,med,high,unacc,1194
low,med,3,NA,small,high,good,1560
low,low,NA,2,big,med,unacc,1709
med,med,3,4,big,high,vgood,1125
high,med,4,NA,med,high,acc,726
vhigh,high,NA,NA,med,high,unacc,213
high,low,4,2,big,high,unacc,819
low,vhigh,NA,4,big,high,acc,1395
high,high,NA,2,small,med,unacc,623
med,high,3,4,small,low,unacc,1009
high,med,2,4,med,low,unacc,661
med,vhigh,4,NA,small,low,unacc,937
high,vhigh,NA,4,small,med,unacc,524
low,vhigh,3,NA,big,high,acc,1350
med,vhigh,4,2,small,high,unacc,921
low,high,4,4,med,med,acc,1472
low,vhigh,2,NA,med,low,unacc,1318
med,med,2,4,small,low,unacc,1090
med,low,3,4,big,low,unacc,1231
high,med,4,2,small,high,unacc,705
med,high,2,NA,med,med,unacc,995
vhigh,low,3,NA,big,med,acc,377
med,high,4,4,big,low,unacc,1042
med,vhigh,2,4,small,med,unacc,875
high,med,2,4,small,high,acc,660
high,med,NA,2,big,med,unacc,737
vhigh,low,NA,2,med,low,unacc,409
vhigh,vhigh,NA,NA,med,low,unacc,103
high,high,3,4,small,med,unacc,578
vhigh,med,3,NA,med,low,unacc,265
vhigh,vhigh,3,4,small,med,unacc,38
low,low,4,4,med,high,vgood,1689
low,vhigh,4,NA,med,high,acc,1374
low,high,4,2,big,med,unacc,1466
high,high,NA,NA,small,high,acc,642
low,high,3,2,med,low,unacc,1435
vhigh,med,2,4,big,low,unacc,232
vhigh,low,NA,2,big,low,unacc,412
high,med,2,NA,small,high,unacc,669
low,vhigh,2,NA,med,med,unacc,1319
med,vhigh,4,2,small,med,unacc,920
low,low,3,4,big,high,vgood,1665
vhigh,vhigh,NA,2,med,low,unacc,85
vhigh,low,3,2,med,low,unacc,355
low,high,2,4,big,med,acc,1421
low,low,2,4,med,low,unacc,1633
med,med,NA,4,med,low,unacc,1174
med,vhigh,3,2,med,med,unacc,896
med,high,NA,4,med,med,acc,1067
low,med,NA,NA,med,med,good,1616
high,med,4,2,med,med,unacc,707
med,vhigh,4,NA,big,low,unacc,943
low,med,2,NA,small,med,unacc,1532
high,low,3,4,med,high,acc,798
high,high,2,NA,med,low,unacc,562
med,low,2,4,med,high,good,1203
vhigh,med,NA,2,med,med,unacc,302
vhigh,med,3,NA,big,med,acc,269
low,med,NA,NA,small,med,acc,1613
low,vhigh,2,4,med,high,acc,1311
high,vhigh,NA,2,med,high,unacc,519
high,high,2,2,med,high,unacc,546
high,high,2,NA,med,high,acc,564
high,high,2,2,med,med,unacc,545
vhigh,med,NA,4,big,low,unacc,313
low,vhigh,3,NA,med,med,acc,1346
vhigh,med,4,4,med,high,acc,285
high,vhigh,3,2,small,low,unacc,460
vhigh,high,NA,4,small,high,unacc,201
med,high,2,2,small,low,unacc,973
low,vhigh,2,4,small,low,unacc,1306
high,high,3,4,med,med,unacc,581
vhigh,med,4,4,small,high,acc,282
vhigh,vhigh,NA,NA,big,low,unacc,106
med,vhigh,4,2,med,med,unacc,923
low,med,3,4,small,low,unacc,1549
high,vhigh,2,2,big,med,unacc,440
vhigh,high,2,4,med,med,unacc,122
vhigh,low,3,4,small,high,acc,363
med,high,NA,NA,med,med,acc,1076
med,vhigh,NA,4,small,med,unacc,956
high,med,4,2,big,med,unacc,710
vhigh,low,4,2,med,med,unacc,383
vhigh,low,NA,NA,med,low,unacc,427
med,low,NA,NA,med,med,good,1292
low,high,NA,4,big,med,acc,1502
vhigh,low,NA,4,small,high,acc,417
high,low,NA,2,big,low,unacc,844
vhigh,low,3,2,big,high,unacc,360
vhigh,vhigh,4,2,med,low,unacc,58
vhigh,vhigh,4,NA,small,med,unacc,74
low,high,4,2,med,med,unacc,1463
low,high,4,NA,med,low,unacc,1480
med,low,NA,2,med,med,unacc,1274
high,vhigh,4,2,med,high,unacc,492
low,high,NA,4,med,high,vgood,1500
high,vhigh,3,2,small,high,unacc,462
vhigh,vhigh,2,4,small,low,unacc,10
vhigh,low,2,NA,small,low,unacc,343
low,high,3,NA,small,high,acc,1452
vhigh,high,NA,2,big,med,unacc,197
high,low,2,NA,big,med,acc,782
med,vhigh,4,NA,small,med,unacc,938
low,med,4,4,big,med,good,1583
vhigh,high,3,NA,big,low,unacc,160
med,high,4,NA,big,low,unacc,1051
low,high,2,4,med,high,acc,1419
high,med,4,NA,med,med,acc,725
med,med,4,4,med,high,vgood,1149
vhigh,low,NA,NA,small,med,unacc,425
med,high,4,2,big,med,unacc,1034
high,low,NA,NA,small,med,unacc,857
high,high,2,4,big,high,acc,558
med,med,3,2,big,low,unacc,1114
vhigh,low,4,4,big,high,acc,396
low,high,2,2,big,low,unacc,1411
high,low,NA,4,big,low,unacc,853
med,med,3,4,med,low,unacc,1120
high,vhigh,4,NA,small,med,unacc,506
high,low,2,2,med,low,unacc,760
vhigh,low,NA,4,med,low,unacc,418
med,low,4,2,big,low,unacc,1249
high,low,3,2,small,high,unacc,786
high,high,3,4,small,low,unacc,577
low,low,2,NA,small,low,unacc,1639
med,med,NA,2,med,low,unacc,1165
med,med,4,4,small,med,acc,1145
low,high,4,NA,big,med,acc,1484
vhigh,low,4,4,med,med,acc,392
high,med,3,4,med,low,unacc,688
med,vhigh,NA,NA,med,low,unacc,967
high,high,3,NA,med,med,acc,590
vhigh,vhigh,3,2,small,high,unacc,30
high,vhigh,NA,4,big,high,unacc,531
med,vhigh,NA,NA,small,med,unacc,965
low,med,NA,NA,big,low,unacc,1618
high,vhigh,NA,4,med,high,unacc,528
high,low,2,NA,med,low,unacc,778
med,high,3,4,med,low,unacc,1012
high,vhigh,3,2,big,med,unacc,467
med,vhigh,2,4,big,low,unacc,880
vhigh,high,3,2,small,med,unacc,137
med,med,2,NA,small,med,unacc,1100
vhigh,high,4,4,small,med,unacc,173
med,low,4,4,big,low,unacc,1258
low,med,NA,4,big,low,unacc,1609
med,med,NA,NA,big,med,acc,1187
low,low,4,4,small,high,good,1686
high,med,3,NA,big,low,unacc,700
high,vhigh,NA,NA,small,low,unacc,532
vhigh,high,NA,4,med,low,unacc,202
vhigh,low,NA,2,small,low,unacc,406
high,high,2,2,big,low,unacc,547
high,high,2,2,small,high,unacc,543
med,med,2,4,med,low,unacc,1093
vhigh,high,3,2,big,high,unacc,144
high,high,3,4,big,high,acc,585
low,low,3,NA,big,high,vgood,1674
high,vhigh,2,2,med,med,unacc,437
low,low,4,2,med,med,unacc,1679
high,vhigh,4,4,med,med,unacc,500
vhigh,high,NA,NA,big,med,unacc,215
high,high,3,2,small,med,unacc,569
vhigh,vhigh,4,2,med,high,unacc,60
med,vhigh,3,4,small,med,unacc,902
high,low,4,NA,big,low,unacc,835
med,vhigh,4,2,med,low,unacc,922
med,vhigh,NA,2,small,med,unacc,947
med,med,NA,4,small,high,acc,1173
high,med,2,2,small,med,unacc,650
high,high,4,NA,med,low,unacc,616
high,high,2,2,big,high,unacc,549
med,vhigh,2,4,big,high,acc,882
high,high,2,4,med,low,unacc,553
low,high,2,4,med,med,acc,1418
high,low,NA,2,med,low,unacc,841
vhigh,vhigh,3,4,big,med,unacc,44
high,low,NA,2,med,high,unacc,843
high,med,NA,2,big,high,unacc,738
vhigh,vhigh,3,2,big,low,unacc,34
med,med,NA,NA,med,high,vgood,1185
high,vhigh,4,4,med,high,unacc,501
low,low,2,2,med,med,unacc,1625
high,med,2,2,big,med,unacc,656
low,vhigh,2,2,med,med,unacc,1301
med,vhigh,2,NA,med,high,acc,888
low,vhigh,3,NA,small,low,unacc,1342
vhigh,high,NA,2,med,med,unacc,194
med,low,3,NA,med,low,unacc,1237
low,med,4,NA,big,high,vgood,1593
high,high,NA,4,med,low,unacc,634
low,high,4,2,med,high,unacc,1464
high,vhigh,4,4,big,med,unacc,503
low,med,2,NA,big,med,good,1538
med,low,3,4,med,low,unacc,1228
high,med,3,2,small,high,unacc,678
med,vhigh,4,NA,med,high,acc,942
low,low,NA,4,med,med,good,1715
low,vhigh,NA,2,med,low,unacc,1381
high,med,NA,4,med,high,acc,744
med,vhigh,4,NA,med,med,acc,941
vhigh,high,2,2,med,med,unacc,113
low,high,NA,NA,big,high,vgood,1512
med,low,3,2,big,high,unacc,1224
med,high,2,2,small,high,unacc,975
med,med,3,NA,small,low,unacc,1126
high,vhigh,NA,4,small,low,unacc,523
low,high,4,4,small,high,acc,1470
high,vhigh,4,NA,big,high,unacc,513
med,vhigh,3,2,med,high,unacc,897
vhigh,med,3,2,big,med,unacc,251
high,med,2,2,small,high,unacc,651
med,vhigh,3,4,small,low,unacc,901
med,low,NA,4,big,high,vgood,1287
vhigh,low,4,2,small,low,unacc,379
med,vhigh,NA,4,big,low,unacc,961
med,low,4,2,med,high,unacc,1248
med,low,NA,2,small,low,unacc,1270
high,vhigh,NA,NA,big,med,unacc,539
low,vhigh,2,NA,big,med,acc,1322
low,vhigh,4,4,med,low,unacc,1363
med,high,2,2,med,high,unacc,978
med,low,4,NA,small,med,acc,1262
vhigh,low,NA,4,med,med,acc,419
low,high,4,2,med,low,unacc,1462
vhigh,high,NA,2,big,low,unacc,196
vhigh,high,3,4,small,high,unacc,147
med,low,3,2,med,low,unacc,1219
low,low,NA,2,big,low,unacc,1708
med,high,2,NA,small,low,unacc,991
low,med,4,4,small,high,good,1578
high,vhigh,2,2,med,high,unacc,438
high,high,4,NA,small,med,unacc,614
vhigh,vhigh,3,NA,small,low,unacc,46
med,med,NA,2,big,med,unacc,1169
med,high,2,2,big,low,unacc,979
high,vhigh,4,NA,big,low,unacc,511
med,high,3,2,med,high,unacc,1005
low,low,3,NA,big,med,good,1673
med,high,NA,4,small,high,acc,1065
med,vhigh,3,4,med,high,acc,906
vhigh,med,2,NA,big,med,acc,242
vhigh,vhigh,4,2,small,high,unacc,57
med,high,NA,2,small,med,unacc,1055
med,low,2,2,med,med,unacc,1193
med,med,3,4,small,high,acc,1119
high,high,3,2,small,high,unacc,570
med,vhigh,3,NA,small,low,unacc,910
low,low,4,4,big,high,vgood,1692
low,low,4,2,small,low,unacc,1675
low,med,NA,4,med,high,vgood,1608
med,vhigh,2,2,small,med,unacc,866
low,high,NA,2,big,med,unacc,1493
high,med,2,4,small,low,unacc,658
high,low,3,NA,small,med,unacc,803
low,vhigh,NA,NA,med,high,acc,1401
low,med,2,4,small,med,acc,1523
low,high,NA,2,med,high,unacc,1491
low,low,4,NA,small,low,unacc,1693
med,vhigh,3,2,small,low,unacc,892
med,high,4,NA,big,med,acc,1052
vhigh,high,NA,NA,med,med,unacc,212
low,vhigh,4,4,small,low,unacc,1360
vhigh,med,3,2,big,high,unacc,252
low,med,3,4,med,low,unacc,1552
vhigh,high,3,NA,med,med,unacc,158
low,vhigh,3,NA,small,high,acc,1344
low,low,3,4,small,low,unacc,1657
vhigh,vhigh,2,NA,med,high,unacc,24
high,low,4,4,big,low,unacc,826
vhigh,med,NA,4,small,high,acc,309
vhigh,low,2,4,small,med,unacc,335
vhigh,high,NA,NA,med,low,unacc,211
low,med,3,2,small,med,unacc,1541
med,med,2,4,big,low,unacc,1096
med,med,4,4,small,high,acc,1146
med,low,4,4,med,high,vgood,1257
low,high,2,NA,med,med,acc,1427
high,med,NA,4,med,low,unacc,742
low,low,4,NA,big,high,vgood,1701
high,high,4,NA,med,high,acc,618
med,vhigh,NA,NA,big,low,unacc,970
low,low,2,4,small,med,acc,1631
med,low,4,NA,big,high,vgood,1269
low,vhigh,3,4,med,med,unacc,1337
low,high,4,4,small,med,acc,1469
vhigh,med,4,NA,med,low,unacc,292
low,high,4,4,big,med,acc,1475
low,vhigh,4,4,big,high,acc,1368
high,high,NA,2,big,high,unacc,630
vhigh,high,2,4,med,low,unacc,121
low,med,4,2,small,high,unacc,1569
low,med,2,2,big,med,unacc,1520
vhigh,med,4,NA,med,high,acc,294
low,med,2,4,big,high,vgood,1530
high,low,3,2,med,low,unacc,787
vhigh,vhigh,2,4,med,med,unacc,14
med,vhigh,NA,4,med,med,acc,959
vhigh,low,4,4,small,med,unacc,389
vhigh,high,3,4,big,med,unacc,152
med,vhigh,NA,NA,big,med,acc,971
vhigh,low,NA,NA,big,high,acc,432
med,med,4,2,small,med,unacc,1136
med,med,2,4,small,med,acc,1091
vhigh,high,3,2,small,low,unacc,136
low,high,3,NA,big,med,acc,1457
high,high,3,NA,big,high,acc,594
low,vhigh,NA,NA,small,low,unacc,1396
med,low,2,NA,med,low,unacc,1210
med,med,NA,2,small,med,unacc,1163
low,low,2,NA,med,med,acc,1643
med,vhigh,2,4,med,high,acc,879
high,low,2,NA,big,low,unacc,781
vhigh,high,2,2,med,high,unacc,114
med,med,2,NA,big,high,vgood,1107
low,vhigh,NA,2,small,low,unacc,1378
med,vhigh,4,4,small,high,acc,930
vhigh,high,3,NA,big,high,unacc,162
high,low,NA,NA,small,high,acc,858
high,high,4,4,big,high,acc,612
high,low,2,NA,small,med,unacc,776
vhigh,med,3,NA,big,low,unacc,268
low,med,NA,2,small,med,unacc,1595
med,high,2,2,med,med,unacc,977
low,high,4,NA,big,low,unacc,1483
low,vhigh,NA,4,small,high,acc,1389
med,vhigh,2,2,small,low,unacc,865
low,med,3,NA,big,high,vgood,1566
med,med,NA,NA,small,low,unacc,1180
med,med,NA,2,med,high,unacc,1167
high,vhigh,2,4,med,med,unacc,446
low,low,3,2,big,low,unacc,1654
med,vhigh,2,4,small,low,unacc,874
low,med,4,NA,big,med,good,1592
low,vhigh,3,4,med,high,acc,1338
vhigh,low,NA,NA,big,med,acc,431
med,vhigh,NA,2,big,low,unacc,952
high,med,3,2,big,high,unacc,684
vhigh,med,3,4,small,high,acc,255
high,high,4,4,big,low,unacc,610
vhigh,med,2,2,med,med,unacc,221
high,vhigh,NA,NA,small,high,unacc,534
vhigh,med,3,4,small,low,unacc,253
high,high,3,NA,small,med,unacc,587
med,low,NA,4,med,high,vgood,1284
high,low,2,4,med,med,unacc,770
high,high,3,2,big,high,unacc,576
low,med,NA,NA,small,low,unacc,1612
high,low,4,NA,med,high,acc,834
low,high,4,4,med,low,unacc,1471
high,low,NA,NA,med,med,acc,860
high,low,NA,4,small,med,unacc,848
high,high,3,2,small,low,unacc,568
vhigh,low,2,NA,big,med,acc,350
low,high,4,4,big,low,unacc,1474
vhigh,med,NA,2,small,high,unacc,300
vhigh,vhigh,2,NA,small,high,unacc,21
vhigh,low,NA,4,small,med,unacc,416
vhigh,med,4,2,med,low,unacc,274
high,low,3,4,small,med,unacc,794
med,high,4,NA,med,low,unacc,1048
vhigh,vhigh,3,NA,med,high,unacc,51
low,low,NA,2,small,high,unacc,1704
high,high,3,4,big,med,acc,584
low,low,4,NA,med,med,good,1697
low,vhigh,2,4,med,low,unacc,1309
low,low,3,4,small,high,good,1659
med,low,3,4,small,low,unacc,1225
low,high,NA,2,small,low,unacc,1486
high,low,3,2,big,high,unacc,792
high,high,2,NA,med,med,unacc,563
vhigh,low,3,2,med,high,unacc,357
low,high,2,2,small,med,unacc,1406
low,high,NA,2,med,med,unacc,1490
med,low,4,NA,big,low,unacc,1267
low,high,NA,NA,small,high,acc,1506
high,low,2,2,small,med,unacc,758
med,high,NA,2,small,high,unacc,1056
vhigh,high,NA,NA,big,low,unacc,214
vhigh,low,2,NA,small,high,unacc,345
high,low,4,4,small,low,unacc,820
low,med,3,2,big,low,unacc,1546
med,vhigh,3,NA,med,low,unacc,913
low,low,NA,2,med,med,unacc,1706
low,low,2,2,small,low,unacc,1621
med,low,4,NA,med,low,unacc,1264
low,med,4,2,med,low,unacc,1570
high,low,3,4,big,high,acc,801
med,high,NA,4,small,med,unacc,1064
low,vhigh,3,4,big,med,acc,1340
high,med,4,4,med,med,acc,716
high,high,2,2,small,med,unacc,542
med,med,4,NA,small,high,acc,1155
med,vhigh,NA,4,small,low,unacc,955
high,low,2,2,small,high,unacc,759
vhigh,med,NA,2,big,high,unacc,306
vhigh,low,4,2,big,high,unacc,387
high,high,3,4,small,high,acc,579
vhigh,high,2,4,small,high,unacc,120
med,vhigh,NA,4,med,high,acc,960
med,vhigh,3,4,small,high,acc,903
low,high,2,NA,med,low,unacc,1426
high,vhigh,3,2,big,high,unacc,468
low,high,3,2,med,med,unacc,1436
med,vhigh,NA,2,med,med,unacc,950
vhigh,low,4,NA,med,low,unacc,400
med,med,3,4,small,med,acc,1118
high,vhigh,4,NA,med,med,unacc,509
low,low,NA,2,med,high,unacc,1707
low,low,2,2,small,med,unacc,1622
low,low,3,4,small,med,acc,1658
high,low,4,2,med,high,unacc,816
high,high,3,4,med,high,acc,582
med,low,2,2,med,low,unacc,1192
med,low,4,4,small,med,acc,1253
med,low,NA,NA,small,low,unacc,1288
med,high,2,4,med,high,acc,987
vhigh,high,2,2,big,med,unacc,116
high,vhigh,3,4,med,high,unacc,474
high,med,2,2,med,high,unacc,654
high,high,3,4,big,low,unacc,583
vhigh,high,4,2,small,low,unacc,163
low,high,3,NA,big,low,unacc,1456
med,vhigh,2,2,big,high,unacc,873
low,med,NA,2,big,med,unacc,1601
vhigh,vhigh,4,2,big,high,unacc,63
low,med,NA,NA,big,med,good,1619
high,med,2,4,med,med,unacc,662
vhigh,high,4,4,med,low,unacc,175
high,low,NA,4,big,med,acc,854
vhigh,med,3,NA,small,low,unacc,262
med,high,4,2,big,low,unacc,1033
vhigh,vhigh,NA,4,small,low,unacc,91
high,med,NA,4,small,low,unacc,739
med,med,NA,2,big,high,unacc,1170
med,vhigh,3,NA,small,high,acc,912
med,med,NA,2,big,low,unacc,1168
vhigh,med,4,4,small,med,unacc,281
low,vhigh,4,2,big,high,unacc,1359
low,low,3,4,med,high,good,1662
med,vhigh,4,2,big,med,unacc,926
low,vhigh,3,NA,big,low,unacc,1348
vhigh,med,4,2,big,med,unacc,278
vhigh,med,2,NA,small,low,unacc,235
high,med,3,4,small,low,unacc,685
high,med,4,NA,med,low,unacc,724
low,med,3,NA,med,high,vgood,1563
low,med,2,4,small,low,unacc,1522
vhigh,vhigh,NA,NA,big,med,unacc,107
low,vhigh,2,2,big,med,unacc,1304
high,vhigh,2,2,med,low,unacc,436
vhigh,low,NA,2,med,med,unacc,410
med,low,4,4,small,high,good,1254
vhigh,low,3,2,big,med,unacc,359
high,vhigh,NA,NA,med,high,unacc,537
vhigh,vhigh,3,4,big,high,unacc,45
low,low,2,NA,med,high,good,1644
vhigh,vhigh,2,NA,small,low,unacc,19
vhigh,vhigh,4,4,small,high,unacc,66
vhigh,med,2,4,big,med,acc,233
med,med,3,NA,big,med,acc,1133
vhigh,med,4,2,small,high,unacc,273
vhigh,low,NA,2,big,med,unacc,413
med,vhigh,3,4,big,high,acc,909
low,low,4,4,big,low,unacc,1690
low,high,NA,2,big,low,unacc,1492
high,vhigh,4,4,small,high,unacc,498
low,vhigh,3,4,small,low,unacc,1333
vhigh,low,3,4,big,med,acc,368
vhigh,low,2,4,big,med,acc,341
vhigh,high,4,NA,big,med,unacc,188
low,vhigh,NA,2,med,med,unacc,1382
low,med,2,4,med,high,good,1527
high,med,NA,NA,med,low,unacc,751
low,high,3,4,small,low,unacc,1441
high,med,3,NA,small,med,unacc,695
low,med,2,4,small,high,good,1524
high,high,NA,2,big,med,unacc,629
vhigh,med,NA,NA,big,med,acc,323
med,med,NA,2,small,low,unacc,1162
high,vhigh,NA,4,big,low,unacc,529
med,high,2,4,big,high,acc,990
med,high,3,2,big,low,unacc,1006
low,low,3,2,med,high,unacc,1653
vhigh,vhigh,2,4,big,low,unacc,16
low,med,3,NA,med,med,good,1562
high,vhigh,4,NA,small,low,unacc,505
high,high,3,NA,med,high,acc,591
high,vhigh,2,NA,big,med,unacc,458
high,low,4,NA,big,high,acc,837
high,med,4,NA,big,med,acc,728
high,low,NA,NA,med,high,acc,861
vhigh,med,2,NA,med,med,unacc,239
med,high,2,2,big,med,unacc,980
med,vhigh,3,2,big,med,unacc,899
med,low,NA,4,small,high,good,1281
high,vhigh,3,2,small,med,unacc,461
vhigh,vhigh,2,4,big,high,unacc,18
vhigh,low,3,2,med,med,unacc,356
low,vhigh,2,2,small,high,unacc,1299
low,med,2,NA,small,high,unacc,1533
vhigh,high,4,2,med,high,unacc,168
low,low,3,2,small,low,unacc,1648
med,med,NA,4,small,med,acc,1172
med,vhigh,2,NA,big,high,acc,891
high,med,2,NA,big,med,acc,674
high,med,4,4,big,low,unacc,718
low,med,4,4,med,low,unacc,1579
low,high,3,4,med,med,acc,1445
med,low,NA,NA,med,low,unacc,1291
med,high,4,4,med,high,acc,1041
low,high,3,NA,med,med,acc,1454
vhigh,low,2,2,small,high,unacc,327
vhigh,low,2,4,med,low,unacc,337
vhigh,low,4,4,med,high,acc,393
high,high,3,2,med,med,unacc,572
vhigh,low,4,4,small,high,acc,390
high,vhigh,3,4,big,low,unacc,475
med,med,2,2,small,low,unacc,1081
low,med,4,2,big,high,unacc,1575
low,med,NA,4,med,med,good,1607
vhigh,vhigh,2,4,small,med,unacc,11
low,low,4,NA,small,med,acc,1694
vhigh,high,4,4,med,med,unacc,176
low,low,2,2,big,high,unacc,1629
low,vhigh,4,2,small,low,unacc,1351
low,med,3,NA,small,med,acc,1559
vhigh,high,2,NA,big,low,unacc,133
high,vhigh,NA,NA,small,med,unacc,533
low,low,4,NA,big,med,good,1700
vhigh,vhigh,3,4,big,low,unacc,43
high,low,3,4,med,med,unacc,797
high,med,NA,NA,med,high,acc,753
